,자치구,프로그램수,lat,lng
14,양천구,"2,606",37.516988475267716,126.86650140965972
13,마포구,"4,378",37.56621419010154,126.9019551411001
17,금천구,"2,211",37.45684114858621,126.89545678002185
3,성동구,"2,494",37.563427205343174,127.03693014118541
21,서초구,"19,534",37.48359242564439,127.0326938421173
10,노원구,"3,029",37.65436175671061,127.05643047521656
18,영등포구,"3,868",37.526367178486936,126.89627844388117
19,동작구,"4,083",37.51248204235883,126.93931505634005
4,광진구,"3,017",37.53855831367326,127.08238518945788
2,용산구,"2,151",37.53243103913802,126.990582345331
20,관악구,"5,870",37.47836837614069,126.95156185386739
6,중랑구,"2,277",37.606543238397514,127.09282028700461
7,성북구,"3,613",37.589366023337,127.0167029072619
22,강남구,"23,870",37.51733192586005,127.04737740838436
1,중구,"4,769",37.56381497833722,126.99755518205693
16,구로구,"2,788",37.49543308637202,126.88750531450943
0,종로구,"3,656",37.57312947159552,126.97923004370492
15,강서구,"3,192",37.55096461543074,126.84953375951333
24,강동구,"1,346",37.530193319622605,127.12379250125309
23,송파구,"4,311",37.51459092340841,127.10592224330543
9,도봉구,"1,405",37.66869141003308,127.0472104993602
8,강북구,"1,258",37.63975132759328,127.02553807185369
12,서대문구,"3,987",37.579161863984915,126.93681566039967
11,은평구,"1,649",37.60282464773275,126.92894550440779
5,동대문구,"2,986",37.57452298171823,127.03965700109148
