,cafe_id,cafe,keyword
0,27391688,플레이케이팝 별이빛나는밤에,데이트코스
1,788239844,잼잼팩토리,분위기좋은
2,788239844,잼잼팩토리,아기자기한
3,788239844,잼잼팩토리,캠핑느낌나는
4,788239844,잼잼팩토리,힐링카페
5,132566301,모모제이,데이트코스
6,132566301,모모제이,분위기좋은
7,132566301,모모제이,브런치카페
8,2080549056,북촌에 가면,데이트코스
9,879217912,베디아올다,데이트코스
10,879217912,베디아올다,디저트카페
11,83691382,수마,루프탑있는
12,83691382,수마,바다전망
13,2065132848,스테이솔티,핸드드립전문점
14,307240389,이디,아침식사
15,1679756496,꼬라지오,디톡스음료
16,1679756496,꼬라지오,브런치카페
17,1679756496,꼬라지오,애견동반카페
18,1679756496,꼬라지오,야외테라스
19,295099561,그라시아스,아침식사
20,18206749,타로스토리,사주
21,26306984,팩토리카페,베이커리카페
22,26306984,팩토리카페,북카페
23,26792268,키친오즈,노키즈존
24,26792268,키친오즈,애견동반식당
25,1062435894,어반가라지,빈티지분위기
26,1062435894,어반가라지,이색카페
27,1062435894,어반가라지,창고형카페
28,1242750756,밀테이블가든,브런치카페
29,1242750756,밀테이블가든,아침식사
30,1303257427,카사제주928,노키즈존
31,1303257427,카사제주928,데이트코스
32,1303257427,카사제주928,브런치카페
33,1303257427,카사제주928,세라믹페인팅체험
34,8225315,노을언덕,무인카페
35,8225315,노을언덕,핸드드립전문점
36,1079119268,니나노제주,애견동반식당
37,1585655885,카페데바,레트로풍
38,1585655885,카페데바,분위기좋은
39,1585655885,카페데바,브런치카페
40,1585655885,카페데바,아늑한느낌
41,1585655885,카페데바,야외테라스
42,27446173,하도리1091,노키즈존
43,445133179,에릭스에스프레소,루프탑있는
44,953331000,스테이굿무드,노키즈존
45,953331000,스테이굿무드,노펫존
46,1568994799,호이안로스터리제주,아담한
47,1568994799,호이안로스터리제주,이색카페
48,1203203290,가가멜,이색카페
49,1203203290,가가멜,핸드드립전문점
50,20245499,월정리로와,루프탑있는
51,232408147,바다건너종달리,야외카페
52,232408147,바다건너종달리,포장가능
53,1452036521,카페뮤로,분위기좋은
54,1452036521,카페뮤로,브런치카페
55,11925364,제주문학의집,북카페
56,11925364,제주문학의집,이색카페
57,74016760,카페블롱,이색카페
58,767876049,비브레이브 혁신도시점,로스팅전문
59,27610067,비어라운드,분위기좋은
60,27610067,비어라운드,빈티지분위기
61,27610067,비어라운드,이색카페
62,27610067,비어라운드,캐주얼한분위기
63,2095612103,카페바나나 중문점,노키즈존
64,2095612103,카페바나나 중문점,이색카페
65,951495041,썬라이즈135,아침식사
66,20436630,더쇼어호텔제주 테라스카페,아침식사
67,1923485041,망고스타카페,낭만적인느낌
68,1923485041,망고스타카페,아침식사
69,2113185266,새빌,베이커리카페
70,2113185266,새빌,이색카페
71,1641449064,이스터카페,깔끔한
72,1641449064,이스터카페,수제초콜릿
73,1641449064,이스터카페,아늑한느낌
74,1641449064,이스터카페,야외테라스
75,2063344276,싱그러우니,식물원카페
76,660923942,로로417,이중섭미술관
77,1382308139,오달콤제주 협재점,협재해수욕장
78,1266869677,카펜터,고급진
79,1266869677,카펜터,분위기좋은
80,1266869677,카펜터,주택개조카페
81,460384368,보래드베이커스,베이커리카페
82,460384368,보래드베이커스,오션뷰카페
83,1879356852,다프네,데이트코스
84,1879356852,다프네,디저트카페
85,1879356852,다프네,애견동반식당
86,22400644,먹쿠슬낭여행자카페,이색카페
87,1006322797,카페쿠이,브런치카페
88,440194716,순아,빈티지분위기
89,1665334776,바바,데이트코스
90,1665334776,바바,로스팅전문
91,1665334776,바바,루프탑있는
92,1665334776,바바,브런치카페
93,1665334776,바바,빈티지분위기
94,1665334776,바바,이색카페
95,409597351,아이갓에브리씽,가성비좋은
96,409597351,아이갓에브리씽,로스팅전문
97,386345472,제주설심당 도남점,분위기좋은
98,1545999578,쉬리니케이크,아침식사
99,99092488,커피템플,핸드드립전문점
100,193625605,어제보다오늘,오션뷰카페
101,193625605,어제보다오늘,전망좋은
102,18143017,스타벅스 성산일출봉점,아침식사
103,1368243224,바이티티카카,브런치카페
104,615988591,식빵가게,수제케이크
