,Accept,Acceptance,Sex,BCPM,GPA,VR,PS,WS,BS,MCAT,Apps
0,D,0,F,3.59,3.62,11,9,9.0,9,38,5
1,A,1,M,3.75,3.84,12,13,8.0,12,45,3
2,A,1,F,3.24,3.23,9,10,5.0,9,33,19
3,A,1,F,3.74,3.69,12,11,7.0,10,40,5
4,A,1,F,3.53,3.38,9,11,4.0,11,35,11
5,A,1,M,3.59,3.72,10,9,7.0,10,36,5
6,A,1,M,3.85,3.89,11,12,6.0,11,40,5
7,D,0,M,3.26,3.34,11,11,8.0,9,39,7
8,A,1,F,3.74,3.71,8,10,6.0,11,35,5
9,A,1,F,3.86,3.89,9,9,6.0,10,34,11
10,A,1,F,4.0,3.97,11,9,8.0,11,39,6
11,A,1,F,3.35,3.49,11,8,4.0,8,31,9
12,A,1,M,3.77,3.77,8,10,7.0,10,35,5
13,D,0,M,3.6,3.61,9,9,4.0,10,32,8
14,D,0,M,3.29,3.3,11,8,6.0,7,32,15
15,A,1,F,3.26,3.54,12,8,8.0,10,38,6
16,D,0,M,3.75,3.65,8,8,8.0,11,35,6
17,A,1,M,3.51,3.54,9,10,9.0,11,39,1
18,D,0,M,3.27,3.25,8,9,5.0,10,32,5
19,A,1,M,3.95,3.89,13,14,8.0,13,48,5
20,A,1,F,3.71,3.71,13,10,8.0,10,41,6
21,D,0,M,3.73,3.77,8,10,8.0,10,36,7
22,A,1,M,4.0,3.91,10,13,6.0,12,41,17
23,A,1,M,3.98,3.88,9,10,8.0,12,39,17
24,D,0,M,3.76,3.68,7,9,6.0,9,31,10
25,A,1,M,3.51,3.56,6,10,6.0,10,32,5
26,D,0,F,3.38,3.44,11,9,4.0,8,32,10
27,A,1,F,3.41,3.58,11,11,6.0,9,37,14
28,A,1,F,3.15,3.4,10,10,6.0,10,36,1
29,A,1,F,3.78,3.82,10,11,10.0,10,41,5
30,A,1,M,3.54,3.62,10,12,6.0,11,39,7
31,D,0,F,3.14,3.09,7,10,8.0,9,34,24
32,A,1,F,3.89,3.89,8,9,8.0,10,35,7
33,D,0,M,3.67,3.7,7,10,8.0,9,34,11
34,D,0,M,3.22,3.24,11,12,8.0,10,41,11
35,A,1,M,3.87,3.86,10,11,8.0,11,40,8
36,D,0,M,3.49,3.54,11,9,10.0,6,36,18
37,D,0,F,3.08,3.4,8,6,4.0,9,27,7
38,A,1,F,3.82,3.87,10,10,5.0,9,34,12
39,A,1,M,3.1,3.14,10,9,8.0,11,38,12
40,D,0,F,3.56,3.37,6,8,9.0,8,31,4
41,D,0,F,3.19,3.38,9,8,8.0,9,34,6
42,A,1,F,3.53,3.62,11,10,8.0,11,40,5
43,A,1,F,3.98,3.94,13,8,8.0,10,39,12
44,D,0,F,3.19,3.37,10,9,6.0,9,34,5
45,D,0,F,3.25,3.36,11,8,9.0,12,40,12
46,A,1,F,3.98,3.97,11,13,10.0,14,48,6
47,D,0,M,2.75,3.04,10,9,8.0,9,36,7
48,D,0,F,3.12,3.29,11,10,8.0,8,37,12
49,D,0,F,3.53,3.67,12,10,9.0,8,39,6
50,D,0,M,2.41,2.72,8,8,8.0,8,32,7
51,D,0,M,3.51,3.56,11,8,6.0,9,34,6
52,A,1,F,3.43,3.48,7,10,7.0,10,34,14
53,D,0,M,2.61,2.8,7,5,,6,18,6
54,D,0,M,3.36,3.44,11,11,8.0,9,39,1
