기간,자치구,프로그램수,프로그램수,프로그램수,프로그램수,프로그램수,프로그램수,프로그램수
기간,자치구,합계,학력보완,기초문해,직업능력향상,인문교양,문화예술,시민참여
2017,계,"114,348","15,145",657,"53,454","16,106","28,371",615
2017,종로구,"3,656",396,26,"1,753",847,560,74
2017,중구,"4,769",383,6,"2,933",671,771,5
2017,용산구,"2,151",76,13,"1,016",349,683,14
2017,성동구,"2,494",885,9,310,566,713,11
2017,광진구,"3,017",963,31,262,335,"1,420",6
2017,동대문구,"2,986",875,11,271,472,"1,352",5
2017,중랑구,"2,277",144,37,266,295,"1,485",50
2017,성북구,"3,613","1,773",51,226,489,"1,050",24
2017,강북구,"1,258",22,20,146,313,754,3
2017,도봉구,"1,405",27,18,202,416,649,93
2017,노원구,"3,029",718,58,291,617,"1,285",60
2017,은평구,"1,649",66,25,245,420,857,36
2017,서대문구,"3,987","1,782",27,492,438,"1,237",11
2017,마포구,"4,378",465,34,"1,816",809,"1,251",3
2017,양천구,"2,606",15,56,343,483,"1,708",1
2017,강서구,"3,192",252,27,722,620,"1,559",12
2017,구로구,"2,788",454,28,686,392,"1,153",75
2017,금천구,"2,211",155,30,"1,203",341,478,4
2017,영등포구,"3,868",412,36,"2,331",369,699,21
2017,동작구,"4,083","1,877",21,"1,434",299,432,20
2017,관악구,"5,870",281,33,"2,971","1,235","1,314",36
2017,서초구,"19,534","2,243",21,"13,004","2,397","1,865",4
2017,강남구,"23,870",619,3,"19,778","1,558","1,891",21
2017,송파구,"4,311",252,32,686,"1,055","2,263",23
2017,강동구,"1,346",10,4,67,320,942,3
